LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-12-21 07:40:50,1900-01-00 00:00:00,,46:41:C9:D8:13:29,-32, ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:50,1900-01-00 00:00:00,,46:41:C9:D8:13:29,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:50,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:51,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:51,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:51,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:52,1900-01-00 00:00:00,,F8:3D:C6:DD:70:E0,-40,,0.000000,0.000000,0.000,0.000,Client
2025-12-21 07:40:52,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:53,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:53,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:53,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:53,1900-01-00 00:00:00,,F8:3D:C6:DD:70:E0,-39,,0.000000,0.000000,0.000,0.000,Client
2025-12-21 07:40:53,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:53,1900-01-00 00:00:00,,F8:3D:C6:DD:70:E0,-39,,0.000000,0.000000,0.000,0.000,Client
2025-12-21 07:40:54,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:54,1900-01-00 00:00:00,,F8:3D:C6:DD:70:E0,-39,,0.000000,0.000000,0.000,0.000,Client
2025-12-21 07:40:54,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:54,1900-01-00 00:00:00,,F8:3D:C6:DD:70:E0,-36,,0.000000,0.000000,0.000,0.000,Client
2025-12-21 07:40:54,1900-01-00 00:00:00,,F8:3D:C6:DD:70:E0,-35,,0.000000,0.000000,0.000,0.000,Client
2025-12-21 07:40:55,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:57,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:40:57,1900-01-00 00:00:00,,F8:3D:C6:DD:70:E0,-39,,0.000000,0.000000,0.000,0.000,Client
2025-12-21 07:40:57,1900-01-00 00:00:00,,F8:3D:C6:DD:70:E0,-39,,0.000000,0.000000,0.000,0.000,Client
